"year","block","trt","subplot","drought","nativecov","totalcov","BG","Litter","plot","invaded","CHAL","ARFR","CHLE","RACO","POOL","BRTE","ASDR","HECO","GAAR","ACHY","PASM","ARLU","ACMI","MATA","POPE","DACA","SCSC","FEID","AMRE","THFI","BOGR","POSE","SPCO","ARPU","SPCR","LIPU","KOMA","BRIN","ELEL","HEVI","BOCU","SOTR","TRDU","CAMI","SATR","MONU","CADU","unkgrass","AMTO","LIDA","TAOF","COAR","MEOF","unknown dicot","ARPO","VEBR","THAR","PLPA","EUGL","BASC","MANE","LEDR","BUDA","DESO","SIAL","GRSQ"
"2020","14","dt","s","1",0.22,0.22,20,NA,"14.dt.s",NA,NA,0.25,NA,0,NA,NA,NA,NA,1.25,2.25,1.5,1.5,0.25,0,1.75,NA,0.25,NA,NA,NA,5,0.25,0,NA,NA,NA,NA,NA,NA,1,6.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","14","fd","n","1",0.2,0.2,60,NA,"14.fd.n",NA,NA,NA,NA,1.5,NA,NA,0,NA,NA,1.25,0.5,NA,6.25,0,3,0.5,0,NA,NA,4.75,NA,NA,0,0,0,0.25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","14","fd","s","1",0.3375,0.3375,35,NA,"14.fd.s",NA,NA,NA,NA,5.75,NA,NA,0,NA,NA,0.25,0.25,NA,8,0,2.75,0.75,0.25,NA,NA,14,NA,NA,0,0,0,0.5,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","14","ir","n","1",0.21,0.21,80,NA,"14.ir.n",NA,NA,0,NA,NA,NA,NA,0,NA,1,0.75,NA,0,NA,0,2.5,NA,NA,0.75,NA,11.5,0.75,NA,0,NA,0,NA,NA,NA,0,0.5,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","14","ir","s","1",0.1925,0.1925,80,NA,"14.ir.s",NA,NA,0,NA,NA,NA,NA,0,NA,0.75,0.25,NA,3.75,NA,0,2.25,NA,NA,0.75,NA,6,1.5,NA,0,NA,0,NA,NA,NA,0,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","14","r","n","1",0.2325,0.2325,50,NA,"14.r.n",NA,NA,4,NA,0,NA,NA,NA,7.25,2.5,0,NA,0,0,0,NA,1.5,1.25,NA,NA,NA,1.75,NA,0,NA,NA,1.75,1.75,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","14","r","s","1",0.3775,0.3775,45,NA,"14.r.s",NA,NA,8,NA,0,NA,NA,NA,2.5,0,0,NA,20,0,0,NA,0,0.25,NA,NA,NA,0,NA,0,NA,NA,0.5,1.5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","15","dt","n","1",0.4325,0.4325,9,NA,"15.dt.n",NA,NA,0,NA,6.75,NA,NA,0,0.5,6,NA,NA,0.75,3,0,NA,3.25,0.5,NA,NA,7.25,6,1.5,NA,NA,2.25,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","15","dt","s","1",0.4675,0.4675,10,NA,"15.dt.s",NA,NA,0,NA,3,NA,NA,0,3.75,0.75,NA,NA,0,6.5,0.75,NA,3.5,0.75,NA,NA,0,0.25,2.5,NA,NA,0,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","15","fd","n","1",0.3425,0.3425,25,NA,"15.fd.n",NA,NA,0.25,NA,NA,NA,NA,NA,NA,10.75,0,NA,1.5,5,0,NA,1.25,NA,5.25,NA,9.25,0,0,0,0,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","15","fd","s","1",0.371,0.371,12,NA,"15.fd.s",NA,NA,0,NA,NA,NA,NA,NA,NA,12,0,NA,0.25,6,0,NA,3.5,NA,6,NA,3.75,0.5,2,0,0,NA,NA,NA,NA,NA,0.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","15","ir","n","1",0.275,0.275,30,NA,"15.ir.n",NA,NA,0,NA,2.5,NA,NA,0,NA,NA,NA,0,2,16,0,2,NA,1.25,1,NA,1.75,0.75,0.25,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","15","ir","s","1",0.291,0.291,40,NA,"15.ir.s",NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,0.1,0.75,13,0,1.5,NA,3,2,NA,2.25,1,0.25,NA,NA,5,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","15","r","n","1",0.7425,0.7425,7,NA,"15.r.n",NA,NA,0,NA,0,NA,NA,0,0,NA,0,1,0.75,1.75,0,NA,70,0.5,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","15","r","s","1",0.7625,0.7625,12,NA,"15.r.s",NA,NA,0.75,NA,0,NA,NA,0,0,NA,0,2,0.75,0.5,0,NA,70,0.5,NA,NA,0,NA,1.5,NA,NA,NA,0.25,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","16","dt","n","0",0.8175,0.8175,17,NA,"16.dt.n",NA,NA,0,NA,45,NA,NA,0,6,NA,NA,0,NA,0,0,4.25,6.5,NA,20,NA,0,NA,NA,NA,0,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","16","dt","s","0",0.145,0.145,45,NA,"16.dt.s",NA,NA,0,NA,0,NA,NA,0,5,NA,NA,0,NA,0,0,1,1.75,NA,5.5,NA,0,NA,NA,NA,0,NA,0,1.25,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","16","fd","n","0",0.29,0.29,50,NA,"16.fd.n",NA,NA,0,NA,1.75,NA,NA,0,NA,17,0,0,0,8.5,0,NA,0.75,NA,0,NA,NA,0.25,NA,NA,NA,0,NA,NA,NA,NA,0.25,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","16","fd","s","0",0.3925,0.3925,30,NA,"16.fd.s",NA,NA,0,NA,3,NA,NA,0.5,NA,20,0,0,0,5,0,NA,3,NA,1.75,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,2.25,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","16","ir","n","0",0.105,0.105,90,NA,"16.ir.n",NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,0,9,0,NA,NA,NA,0,NA,0.75,0.5,NA,0,0,NA,NA,0,NA,0,0,0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","16","ir","s","0",0.2875,0.2875,50,NA,"16.ir.s",NA,NA,0,NA,0.75,NA,NA,NA,NA,0.75,NA,NA,0.75,20,0,NA,NA,NA,0,NA,5,0.25,NA,0,0,NA,NA,0,NA,0,0.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","16","r","n","0",0.46,0.46,60,NA,"16.r.n",NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,20,0,0,NA,15,NA,NA,NA,0,NA,0,0,0,NA,0,3.5,NA,0,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","16","r","s","0",0.416,0.416,70,NA,"16.r.s",NA,NA,0,NA,NA,NA,NA,NA,0,NA,0,NA,30,0,0,NA,11,NA,NA,NA,0,NA,0.1,0,0,NA,0,0.5,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","17","dt","n","0",0.2425,0.2425,35,NA,"17.dt.n",NA,NA,0,NA,NA,NA,NA,0,NA,3,3.75,NA,NA,0.5,0,NA,0.75,NA,NA,NA,0,12.25,0,0,0,NA,0.5,3.5,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2020","17","dt","s","0",0.1475,0.1475,45,NA,"17.dt.s",NA,NA,0,NA,NA,NA,NA,0.25,NA,0,2.5,NA,NA,0.5,0,NA,0.75,NA,NA,NA,0,10,0,0,0,NA,0,0.75,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
