Year,structure,plot,block,trt,water,mono,gopher,native.richness,native.forb.richness,native.grass.richness,native.cover,native.forb.cover,native.grass.cover,inv.grass.cov,fesper.seeded,fesper.present,ACHMIL,ACMAME,ACMSTR,AMSMEN,ASCFAS,CALCIL,CIROCC,DEIFAS,ESCCAL,GRICAM,LAYPLA,LUPBIC,LUPMIC,LUPSUC,PHACIC,PLAERE,RANCAL,SISBEL,TRIWIL,ARIPUR,BROCAR,ELYCON,ELYGLA,FESMIC,HORBRA,HORINT,KOEMAC,MELIMP,MUHRIG,POASEC,SPOAIR,STIPUL,BRODIA,BROHOR,BROMAD,FESMYU,FESPER,HORMUR,POLMON,gopher.disturbance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,A,3-IR,3,IR,125,0,1,8,5,3,1.08,1,0.08,0,0,0,0,0,0,0.7,0,0.05,0.02,0,0,0,0,0,0,0.03,0.2,0,0,0,0,0,0.05,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,A,3-R,3,R,125,0,1,7,5,2,1.28,1.03,0.25,0.11,1,1,0,0.03,0,0.75,0,0.1,0.05,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.15,0,0,0,0,0,0,0,0,0.05,0,0,0.03,0.03,0,0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,4-DT,4,DT,125,0,0,7,4,3,0.97,0.13,0.84,0.01,0,1,0,0.01,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.8,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,A,4-FD,4,FD,125,0,1,8,6,2,0.56,0.26,0.3,0.2,1,0,0,0.01,0,0.04,0,0.02,0.01,0,0,0.03,0,0,0,0,0.15,0,0,0,0,0,0.2,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,4-IR,4,IR,125,0,0,7,5,2,0.76,0.11,0.65,0.17,1,1,0,0.01,0.01,0.01,0,0.05,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.6,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.02,0,0.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,A,4-R,4,R,125,0,1,5,4,1,0.9,0.6,0.3,0,0,0,0,0,0,0.45,0,0.01,0.04,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,5-DT,5,DT,125,0,0,12,8,4,0.52,0.24,0.28,0.5,1,1,0,0.01,0,0.1,0,0.01,0.03,0,0.03,0.01,0,0,0,0.04,0.01,0,0,0,0,0,0.02,0,0.05,0.2,0,0,0,0,0,0,0,0.01,0,0,0,0,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,5-FD,5,FD,125,0,0,10,7,3,0.8,0.09,0.71,0.01,0,1,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0,0,0.01,0,0,0.03,0,0,0,0,0,0.5,0,0,0.2,0,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,5-IR,5,IR,125,0,0,9,7,2,0.72,0.22,0.5,0.05,0,1,0,0.01,0.01,0.05,0,0.02,0.02,0,0.01,0,0,0,0,0,0.1,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,5-R,5,R,125,0,1,8,5,3,0.86,0.16,0.7,0.04,0,1,0,0.01,0.03,0,0,0,0.01,0,0.01,0,0,0,0,0,0.1,0,0,0,0,0,0.35,0,0.05,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,6-DT,6,DT,125,0,1,9,7,2,0.82,0.32,0.5,0.15,1,1,0,0.02,0,0.05,0,0.02,0,0,0,0.02,0,0,0,0.1,0.1,0,0.01,0,0,0,0.35,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,6-FD,6,FD,125,0,0,11,7,4,0.91,0.32,0.59,0.15,1,1,0,0,0.01,0.05,0,0.01,0,0,0.05,0.07,0,0,0,0,0.1,0,0.03,0,0,0,0.05,0,0.02,0.5,0,0,0,0,0,0,0,0.02,0,0,0,0,0.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,6-IR,6,IR,125,0,0,10,7,3,0.97,0.45,0.52,0.03,0,1,0,0,0.01,0.3,0,0.01,0,0,0.05,0.03,0,0,0,0.02,0.03,0,0,0,0,0,0.1,0,0.02,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,6-R,6,R,125,0,1,6,4,2,0.65,0.05,0.6,0.15,1,1,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0.45,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,7-DT,7,DT,125,1,0,7,5,2,0.15,0.05,0.1,0.1,0,1,0,0.01,0.01,0,0,0.01,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0.05,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,7-FD,7,FD,125,0,0,9,4,5,0.81,0.43,0.38,0.05,0,1,0,0.01,0,0,0,0,0.07,0,0.1,0,0,0,0,0,0.25,0,0,0,0,0,0.1,0,0.05,0.2,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0.05,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,7-IR,7,IR,125,0,0,9,7,2,0.94,0.59,0.35,0.15,1,1,0,0.01,0,0.02,0,0,0.3,0,0.04,0,0,0,0,0,0.1,0.02,0.1,0,0,0,0.05,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,J,7-R,7,R,125,0,0,11,8,3,0.89,0.11,0.78,0.03,0,1,0,0.01,0,0.03,0,0,0.01,0,0.01,0.01,0,0,0,0,0.01,0.02,0.01,0,0,0,0.35,0,0,0.4,0,0,0,0,0,0,0,0.03,0.01,0,0,0,0.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,8-DT,8,DT,125,0,1,6,4,2,0.7,0.3,0.4,0.05,0,1,0,0,0.04,0.03,0,0,0.03,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.1,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,8-FD,8,FD,125,0,1,6,4,2,0.8,0.6,0.2,0.1,1,1,0,0,0.05,0.05,0,0,0.1,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,8-IR,8,IR,125,0,0,7,4,3,0.39,0.26,0.13,0.75,1,1,0,0.01,0,0.05,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0,0.03,0,0,0,0,0.75,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,8-R,8,R,125,1,0,1,0,1,0.03,0,0.03,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,9-DT,9,DT,125,0,0,5,3,2,0.74,0.09,0.65,0.15,1,1,0,0,0,0.03,0,0,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.05,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0.05,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,9-FD,9,FD,125,0,0,6,4,2,0.84,0.29,0.55,0.01,0,1,0,0.01,0,0.06,0,0,0.02,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.05,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,9-IR,9,IR,125,0,0,8,5,3,1.05,0.78,0.27,0.05,0,1,0,0,0,0.05,0,0.01,0.07,0,0.05,0,0,0,0,0,0.6,0,0,0,0,0,0.15,0,0.02,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,9-R,9,R,125,0,0,7,5,2,0.99,0.24,0.75,0,0,0,0,0,0.05,0,0,0.01,0,0,0.02,0,0,0,0,0.01,0.15,0,0,0,0,0,0.25,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,10-DT,10,DT,125,0,0,9,7,2,0.74,0.39,0.35,0.25,1,1,0,0,0.15,0.05,0,0.01,0.01,0,0.01,0.01,0,0,0,0,0.15,0,0,0,0,0,0.25,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,10-FD,10,FD,125,0,0,7,4,3,0.98,0.45,0.53,0.1,0,0,0,0,0,0.25,0,0,0.02,0,0.03,0,0,0,0,0,0.15,0,0,0,0,0,0.45,0,0,0.05,0,0,0,0,0,0,0,0.03,0,0,0,0.1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,10-IR,10,IR,125,0,1,8,6,2,0.56,0.36,0.2,0.35,1,1,0,0.02,0.02,0.25,0,0,0.04,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.05,0.3,0,0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,K,10-R,10,R,125,0,0,9,7,2,1.04,0.39,0.65,0,1,0,0,0.01,0.02,0.15,0,0,0,0,0.03,0,0,0,0,0.01,0.15,0.02,0,0,0,0,0.6,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
